,token_id,type,height,segments,spectrum,color_spread,steps_between,color_direction
0,0,Normal,3,19,Normal,25,200,Forward
1,1,Normal,3,14,Normal,45,200,Forward
2,2,Normal,3,13,Normal,29,200,Reverse
3,3,Normal,3,19,Normal,35,200,Reverse
4,4,Normal,3,15,Normal,28,200,Forward
5,5,Slinky,3,14,Normal,33,50,Reverse
6,6,Normal,3,17,Normal,35,200,Forward
7,7,Fuzzy,3,13,Normal,36,1000,Reverse
8,8,Slinky,3,16,Normal,48,50,Forward
9,9,Normal,3,19,Normal,13,200,Forward
10,10,Ribbed,3,15,Normal,20,200,Forward
11,11,Normal,3,14,Normal,39,200,Forward
12,12,Normal,3,17,Normal,44,200,Forward
13,13,Normal,3,18,Normal,15,200,Forward
14,14,Normal,3,13,Normal,18,200,Forward
15,15,Normal,3,13,Normal,37,200,Forward
16,16,Normal,3,12,Normal,16,200,Reverse
17,17,Slinky,3,17,Normal,35,50,Forward
18,18,Normal,3,14,Normal,22,200,Forward
19,19,Ribbed,3,15,Normal,15,200,Reverse
20,20,Bold,3,17,Normal,19,200,Forward
21,21,Normal,3,14,Normal,10,200,Forward
22,22,Fuzzy,3,16,Normal,42,1000,Reverse
23,23,Normal,3,19,Normal,41,200,Forward
24,24,Normal,3,16,Normal,25,200,Reverse
25,25,Normal,3,14,Normal,37,200,Reverse
26,26,Normal,3,16,Normal,39,200,Forward
27,27,Slinky,3,14,Normal,40,50,Forward
28,28,Normal,3,13,Normal,42,200,Forward
29,29,Normal,3,15,Normal,27,200,Forward
30,30,Normal,3,14,Normal,37,200,Reverse
31,31,Normal,3,19,Normal,38,200,Reverse
32,32,Normal,3,12,Normal,32,200,Reverse
33,33,Normal,3,16,Normal,38,200,Reverse
34,34,Normal,3,12,Normal,48,200,Reverse
35,35,Slinky,3,13,Normal,24,50,Reverse
36,36,Ribbed,3,14,Normal,9,200,Reverse
37,37,Bold,3,15,Normal,9,200,Reverse
38,38,Normal,3,15,Normal,35,200,Forward
39,39,Slinky,3,12,Normal,39,50,Reverse
40,40,Fuzzy,3,13,Normal,30,1000,Forward
41,41,Normal,3,13,Normal,24,200,Forward
42,42,Normal,3,17,Normal,43,200,Forward
43,43,Slinky,3,12,Normal,36,50,Reverse
44,44,Normal,3,17,Normal,7,200,Reverse
45,45,Bold,3,18,Normal,10,200,Forward
46,46,Normal,3,15,Normal,28,200,Reverse
47,47,Normal,3,12,Normal,26,200,Forward
48,48,Normal,3,13,Normal,35,200,Reverse
49,49,Normal,3,15,Normal,33,200,Reverse
50,50,Normal,3,12,Normal,33,200,Reverse
51,51,Normal,3,13,Normal,7,200,Reverse
52,52,Fuzzy,3,13,Normal,34,1000,Forward
53,53,Normal,3,16,Normal,18,200,Forward
54,54,Normal,3,13,Normal,26,200,Forward
55,55,Slinky,3,15,Normal,23,50,Forward
56,56,Slinky,3,16,Normal,32,50,Forward
57,57,Normal,3,18,Normal,23,200,Forward
58,58,Normal,3,13,Normal,43,200,Reverse
59,59,Bold,3,19,Normal,14,200,Reverse
60,60,Bold,3,17,Normal,26,200,Reverse
61,61,Bold,3,19,Normal,19,200,Reverse
62,62,Fuzzy,3,13,Normal,18,1000,Reverse
63,63,Fuzzy,3,13,Normal,39,1000,Forward
64,64,Normal,3,12,Normal,46,200,Forward
65,65,Slinky,3,17,Normal,18,50,Forward
66,66,Normal,3,19,Full Spectrum,15,200,Reverse
67,67,Normal,3,16,Normal,47,200,Forward
68,68,Ribbed,3,19,Normal,32,200,Forward
69,69,Normal,3,19,Normal,49,200,Forward
70,70,Normal,3,15,Normal,5,200,Reverse
71,71,Normal,3,19,Normal,5,200,Reverse
72,72,Fuzzy,3,15,Normal,23,1000,Reverse
73,73,Normal,3,17,Normal,21,200,Reverse
74,74,Pipe,3,14,Normal,10,50,Forward
75,75,Fuzzy,3,12,Normal,32,1000,Reverse
76,76,Slinky,3,16,Normal,21,50,Forward
77,77,Slinky,3,14,Normal,44,50,Forward
78,78,Normal,3,17,Normal,34,200,Reverse
79,79,Fuzzy,3,15,Normal,44,1000,Forward
80,80,Ribbed,3,19,Normal,22,200,Reverse
81,81,Normal,3,15,Normal,37,200,Forward
82,82,Fuzzy,3,12,Normal,49,1000,Forward
83,83,Slinky,3,18,Normal,37,50,Forward
84,84,Slinky,3,16,Normal,31,50,Forward
85,85,Normal,3,16,Normal,26,200,Reverse
86,86,Ribbed,3,12,Normal,29,200,Forward
87,87,Slinky,3,17,Normal,10,50,Reverse
88,88,Normal,3,14,Normal,41,200,Forward
89,89,Normal,3,12,Normal,13,200,Forward
90,90,Fuzzy,3,17,Normal,22,1000,Forward
91,91,Normal,3,18,Normal,37,200,Forward
